origin_id,destination_id,origin_adress,destination_adress,distance,duration,duration_in_traffic
1,2,Grazbachgasse 40; 8010 Graz; Austria,Grazbachgasse 34; 8010 Graz; Austria,80,14,17
2,3,Grazbachgasse 34; 8010 Graz; Austria,Grazbachgasse 33; 8010 Graz; Austria,110,19,23
2,28,Grazbachgasse 34; 8010 Graz; Austria,Maygasse 15 / Ecke; Schießstattgasse; 8010 Graz; Austria,142,25,25
3,4,Grazbachgasse 33; 8010 Graz; Austria,Dietrichsteinplatz (Münzgrabenstraße); 8010 Graz; Austria,208,37,52
4,5,Dietrichsteinplatz (Münzgrabenstraße); 8010 Graz; Austria,Dietrichsteinpl. 9a; 8010 Graz; Austria,111,20,28
4,16,Dietrichsteinplatz (Münzgrabenstraße); 8010 Graz; Austria,Münzgrabenstraße 13; 8010 Graz; Austria,177,31,36
5,4,Dietrichsteinpl. 9a; 8010 Graz; Austria,Dietrichsteinplatz (Münzgrabenstraße); 8010 Graz; Austria,111,27,33
5,6,Dietrichsteinpl. 9a; 8010 Graz; Austria,Mandellstraße 15; 8010 Graz; Austria,158,38,47
5,8,Dietrichsteinpl. 9a; 8010 Graz; Austria,Schörgelgasse 3; 8010 Graz; Austria,49,8,9
6,5,Mandellstraße 15; 8010 Graz; Austria,Dietrichsteinpl. 9a; 8010 Graz; Austria,158,30,33
6,7,Mandellstraße 15; 8010 Graz; Austria,Mandellstraße 27; 8010 Graz; Austria,87,20,23
7,6,Mandellstraße 27; 8010 Graz; Austria,Mandellstraße 15; 8010 Graz; Austria,87,26,38
7,9,Mandellstraße 27; 8010 Graz; Austria,Schörgelgasse 19; 8010 Graz; Austria,67,13,18
7,10,Mandellstraße 27; 8010 Graz; Austria,Felix-Dahn-Platz 1; 8010 Graz; Austria,152,25,32
8,9,Schörgelgasse 3; 8010 Graz; Austria,Schörgelgasse 19; 8010 Graz; Austria,145,26,29
8,14,Schörgelgasse 3; 8010 Graz; Austria,Kronesgasse 5; 8010 Graz; Austria,98,21,20
9,7,Schörgelgasse 19; 8010 Graz; Austria,Mandellstraße 27; 8010 Graz; Austria,67,20,30
9,10,Schörgelgasse 19; 8010 Graz; Austria,Felix-Dahn-Platz 1; 8010 Graz; Austria,161,32,40
9,13,Schörgelgasse 19; 8010 Graz; Austria,Kopernikusgasse 19; 8010 Graz; Austria,113,20,23
10,7,Felix-Dahn-Platz 1; 8010 Graz; Austria,Mandellstraße 27; 8010 Graz; Austria,152,26,49
10,11,Felix-Dahn-Platz 1; 8010 Graz; Austria,Steyrergasse 1; 8010 Graz; Austria,244,44,61
11,10,Steyrergasse 1; 8010 Graz; Austria,Felix-Dahn-Platz 1; 8010 Graz; Austria,244,40,54
11,19,Steyrergasse 1; 8010 Graz; Austria,Graz Neue Technik; 8010 Graz; Austria,328,59,69
12,18,Kopernikusgasse 27; 8010 Graz; Austria,Münzgrabenstraße 42; 8010 Graz; Austria,182,54,53
13,9,Kopernikusgasse 19; 8010 Graz; Austria,Schörgelgasse 19; 8010 Graz; Austria,113,24,31
13,14,Kopernikusgasse 19; 8010 Graz; Austria,Kronesgasse 5; 8010 Graz; Austria,104,21,20
13,12,Kopernikusgasse 19; 8010 Graz; Austria,Kopernikusgasse 27; 8010 Graz; Austria,106,25,25
13,17,Kopernikusgasse 19; 8010 Graz; Austria,Brockmanngasse 36; 8010 Graz; Austria,153,31,34
14,8,Kronesgasse 5; 8010 Graz; Austria,Schörgelgasse 3; 8010 Graz; Austria,98,19,18
14,13,Kronesgasse 5; 8010 Graz; Austria,Kopernikusgasse 19; 8010 Graz; Austria,104,24,23
14,16,Kronesgasse 5; 8010 Graz; Austria,Münzgrabenstraße 13; 8010 Graz; Austria,97,21,20
15,21,Schießstattgasse 4a; 8010 Graz; Austria,Brockmanngasse 46; 8010 Graz; Austria,191,33,32
15,29,Schießstattgasse 4a; 8010 Graz; Austria,Klosterwiesgasse 32; 8010 Graz; Austria,190,49,48
16,4,Münzgrabenstraße 13; 8010 Graz; Austria,Dietrichsteinplatz (Münzgrabenstraße); 8010 Graz; Austria,177,50,86
16,15,Münzgrabenstraße 13; 8010 Graz; Austria,Schießstattgasse 4a; 8010 Graz; Austria,54,13,15
16,14,Münzgrabenstraße 13; 8010 Graz; Austria,Kronesgasse 5; 8010 Graz; Austria,97,18,17
16,17,Münzgrabenstraße 13; 8010 Graz; Austria,Brockmanngasse 36; 8010 Graz; Austria,179,25,26
17,13,Brockmanngasse 36; 8010 Graz; Austria,Kopernikusgasse 19; 8010 Graz; Austria,153,26,30
17,16,Brockmanngasse 36; 8010 Graz; Austria,Münzgrabenstraße 13; 8010 Graz; Austria,179,28,35
17,18,Brockmanngasse 36; 8010 Graz; Austria,Münzgrabenstraße 42; 8010 Graz; Austria,93,18,22
17,21,Brockmanngasse 36; 8010 Graz; Austria,Brockmanngasse 46; 8010 Graz; Austria,138,33,33
18,17,Münzgrabenstraße 42; 8010 Graz; Austria,Brockmanngasse 36; 8010 Graz; Austria,93,17,18
18,19,Münzgrabenstraße 42; 8010 Graz; Austria,Graz Neue Technik; 8010 Graz; Austria,36,8,9
19,18,Graz Neue Technik; 8010 Graz; Austria,Münzgrabenstraße 42; 8010 Graz; Austria,36,6,7
19,11,Graz Neue Technik; 8010 Graz; Austria,Steyrergasse 1; 8010 Graz; Austria,328,53,62
19,20,Graz Neue Technik; 8010 Graz; Austria,Kastellfeldgasse 34; 8010 Graz; Austria,184,29,33
20,19,Kastellfeldgasse 34; 8010 Graz; Austria,Graz Neue Technik; 8010 Graz; Austria,184,35,44
20,21,Kastellfeldgasse 34; 8010 Graz; Austria,Brockmanngasse 46; 8010 Graz; Austria,100,22,22
20,23,Kastellfeldgasse 34; 8010 Graz; Austria,Steyrergasse 73; 8010 Graz; Austria,172,21,23
21,15,Brockmanngasse 46; 8010 Graz; Austria,Schießstattgasse 4a; 8010 Graz; Austria,191,40,40
21,17,Brockmanngasse 46; 8010 Graz; Austria,Brockmanngasse 36; 8010 Graz; Austria,138,36,45
21,20,Brockmanngasse 46; 8010 Graz; Austria,Kastellfeldgasse 34; 8010 Graz; Austria,100,19,19
21,22,Brockmanngasse 46; 8010 Graz; Austria,Klosterwiesgasse 51; 8010 Graz; Austria,173,46,68
22,21,Klosterwiesgasse 51; 8010 Graz; Austria,Brockmanngasse 46; 8010 Graz; Austria,732,148,148
22,24,Klosterwiesgasse 51; 8010 Graz; Austria,Brockmanngasse 70; 8010 Graz; Austria,466,90,91
22,29,Klosterwiesgasse 51; 8010 Graz; Austria,Klosterwiesgasse 32; 8010 Graz; Austria,200,36,37
23,20,Steyrergasse 73; 8010 Graz; Austria,Kastellfeldgasse 34; 8010 Graz; Austria,172,21,22
23,22,Steyrergasse 73; 8010 Graz; Austria,Klosterwiesgasse 51; 8010 Graz; Austria,108,23,28
23,25,Steyrergasse 73; 8010 Graz; Austria,Steyrergasse 90; 8010 Graz; Austria,101,14,15
25,23,Steyrergasse 90; 8010 Graz; Austria,Steyrergasse 73; 8010 Graz; Austria,101,15,17
25,26,Steyrergasse 90; 8010 Graz; Austria,Steyrergasse; 8010 Graz; Austria,108,29,31
24,22,Brockmanngasse 70; 8010 Graz; Austria,Klosterwiesgasse 51; 8010 Graz; Austria,99,32,35
24,25,Brockmanngasse 70; 8010 Graz; Austria,Steyrergasse 90; 8010 Graz; Austria,105,22,25
24,27,Brockmanngasse 70; 8010 Graz; Austria,Conrad-von-Hötzendorf-Straße 23; 8010 Graz; Austria,323,75,83
26,27,Steyrergasse; 8010 Graz; Austria,Conrad-von-Hötzendorf-Straße 23; 8010 Graz; Austria,110,20,27
26,25,Steyrergasse; 8010 Graz; Austria,Steyrergasse 90; 8010 Graz; Austria,508,135,143
27,26,Conrad-von-Hötzendorf-Straße 23; 8010 Graz; Austria,Steyrergasse; 8010 Graz; Austria,110,22,37
27,30,Conrad-von-Hötzendorf-Straße 23; 8010 Graz; Austria,Conrad-von-Hötzendorf-Straße 6; 8010 Graz; Austria,190,36,42
28,24,Maygasse 15 / Ecke; Schießstattgasse; 8010 Graz; Austria,Brockmanngasse 70; 8010 Graz; Austria,173,30,29
28,2,Maygasse 15 / Ecke; Schießstattgasse; 8010 Graz; Austria,Grazbachgasse 34; 8010 Graz; Austria,142,39,38
29,28,Klosterwiesgasse 32; 8010 Graz; Austria,Maygasse 15 / Ecke; Schießstattgasse; 8010 Graz; Austria,90,18,18
29,3,Klosterwiesgasse 32; 8010 Graz; Austria,Grazbachgasse 33; 8010 Graz; Austria,146,33,34
30,1,Conrad-von-Hötzendorf-Straße 6; 8010 Graz; Austria,Grazbachgasse 40; 8010 Graz; Austria,82,22,23
30,27,Conrad-von-Hötzendorf-Straße 6; 8010 Graz; Austria,Conrad-von-Hötzendorf-Straße 23; 8010 Graz; Austria,190,31,41
